Treatment,Colony,BeeID,Trial,Num not reach feeder 9,Num reach feeder 9,NumDistinctArms
Balanced,Balanced_Colony03,3Rep5,4,0,17,8
Balanced,Balanced_Colony03,3Rep5,5,1,17,8
Balanced,Balanced_Colony03,3Rep5,6,3,30,8
Balanced,Balanced_Colony03,3Rep5,7,1,19,8
Balanced,Balanced_Colony03,3Rep5,8,1,11,8
Balanced,Balanced_Colony03,3Rep6,1,2,10,8
Balanced,Balanced_Colony03,3Rep6,2,3,22,8
Balanced,Balanced_Colony03,3Rep6,3,0,12,8
Balanced,Balanced_Colony03,3Rep6,4,0,16,8
Balanced,Balanced_Colony03,3Rep6,5,4,12,8
Balanced,Balanced_Colony03,3Rep6,6,0,8,8
Balanced,Balanced_Colony03,3Rep6,7,1,11,8
Balanced,Balanced_Colony03,3Rep6,8,8,13,8
Balanced,Balanced_Colony04,4Rep1,1,2,24,8
Balanced,Balanced_Colony04,4Rep1,2,2,22,8
Balanced,Balanced_Colony04,4Rep1,3,4,32,8
Balanced,Balanced_Colony04,4Rep1,4,0,36,8
Balanced,Balanced_Colony04,4Rep1,5,3,14,8
Balanced,Balanced_Colony04,4Rep1,6,1,13,8
Balanced,Balanced_Colony04,4Rep1,7,4,12,8
Balanced,Balanced_Colony04,4Rep1,8,9,13,8
Balanced,Balanced_Colony04,4Rep2,1,0,25,8
Balanced,Balanced_Colony04,4Rep2,2,0,21,8
Balanced,Balanced_Colony04,4Rep2,3,0,28,8
Balanced,Balanced_Colony04,4Rep2,4,0,10,8
Balanced,Balanced_Colony04,4Rep2,5,0,11,8
Balanced,Balanced_Colony04,4Rep2,6,0,8,8
Balanced,Balanced_Colony04,4Rep2,7,0,9,8
Balanced,Balanced_Colony04,4Rep2,8,0,10,8
Balanced,Balanced_Colony04,4Rep3,1,0,16,8
Balanced,Balanced_Colony04,4Rep3,2,1,11,8
Balanced,Balanced_Colony04,4Rep3,3,0,11,8
Balanced,Balanced_Colony04,4Rep3,4,0,26,8
Balanced,Balanced_Colony04,4Rep3,5,0,12,8
