Treatment,Colony,BeeID,Trial,nL,nR,nSwitch
Ratio1,Colony5_40,Colony5_40Rep1,6,8,3,5
Ratio1,Colony5_40,Colony5_40Rep1,7,6,11,5
Ratio1,Colony5_40,Colony5_40Rep1,8,3,13,5
Ratio1,Colony5_40,Colony5_40Rep2,1,7,2,4
Ratio1,Colony5_40,Colony5_40Rep2,2,3,4,2
Ratio1,Colony5_40,Colony5_40Rep2,3,6,7,7
Ratio1,Colony5_40,Colony5_40Rep2,4,3,7,5
Ratio1,Colony5_40,Colony5_40Rep2,5,7,6,3
Ratio1,Colony5_40,Colony5_40Rep2,6,5,4,2
Ratio1,Colony5_40,Colony5_40Rep2,7,9,3,1
Ratio1,Colony5_40,Colony5_40Rep2,8,16,5,10
Ratio1,Colony5_40,Colony5_40Rep3,1,21,15,14
Ratio1,Colony5_40,Colony5_40Rep3,2,19,11,13
Ratio1,Colony5_40,Colony5_40Rep3,3,9,9,9
Ratio1,Colony5_40,Colony5_40Rep3,4,8,9,8
Ratio1,Colony5_40,Colony5_40Rep3,5,7,6,6
Ratio1,Colony5_40,Colony5_40Rep3,6,7,8,7
Ratio1,Colony5_40,Colony5_40Rep3,7,6,12,7
Ratio1,Colony5_40,Colony5_40Rep3,8,6,2,1
Ratio1,Colony5_40,Colony5_40Rep4,1,5,2,4
Ratio1,Colony5_40,Colony5_40Rep4,2,13,6,8
Ratio1,Colony5_40,Colony5_40Rep4,3,9,3,4
Ratio1,Colony5_40,Colony5_40Rep4,4,11,8,9
Ratio1,Colony5_40,Colony5_40Rep4,5,11,6,6
Ratio1,Colony5_40,Colony5_40Rep4,6,7,8,5
Ratio1,Colony5_40,Colony5_40Rep4,7,8,5,7
Ratio1,Colony5_40,Colony5_40Rep4,8,11,6,5
Ratio1,Colony5_40,Colony5_40Rep5,1,2,4,3
Ratio1,Colony5_40,Colony5_40Rep5,2,14,9,14
Ratio1,Colony5_40,Colony5_40Rep5,3,14,6,7
Ratio1,Colony5_40,Colony5_40Rep5,4,10,0,0
Ratio1,Colony5_40,Colony5_40Rep5,5,9,3,4
Ratio1,Colony5_40,Colony5_40Rep5,6,29,6,10
Ratio1,Colony5_40,Colony5_40Rep5,7,13,2,4
Ratio1,Colony5_40,Colony5_40Rep5,8,7,1,2
Ratio1,Colony5_40,Colony5_40Rep6,1,13,5,10
Ratio1,Colony5_40,Colony5_40Rep6,2,6,2,3
Ratio1,Colony5_40,Colony5_40Rep6,3,8,5,7
Ratio1,Colony5_40,Colony5_40Rep6,4,5,5,4
Ratio1,Colony5_40,Colony5_40Rep6,5,8,1,2
Ratio1,Colony5_40,Colony5_40Rep6,6,6,6,3
Ratio1,Colony5_40,Colony5_40Rep6,7,2,11,2
Ratio1,Colony5_40,Colony5_40Rep6,8,10,14,8
Ratio5,Colony1_872,Colony1_872Rep1,1,8,5,5
Ratio5,Colony1_872,Colony1_872Rep1,2,12,6,9
Ratio5,Colony1_872,Colony1_872Rep1,3,12,11,13
Ratio5,Colony1_872,Colony1_872Rep1,4,8,6,6
Ratio5,Colony1_872,Colony1_872Rep1,5,9,7,5
Ratio5,Colony1_872,Colony1_872Rep1,6,15,7,7
Ratio5,Colony1_872,Colony1_872Rep1,7,15,10,10
Ratio5,Colony1_872,Colony1_872Rep1,8,3,8,5
Ratio5,Colony1_872,Colony1_872Rep2,1,10,14,9
Ratio5,Colony1_872,Colony1_872Rep2,2,19,19,20
Ratio5,Colony1_872,Colony1_872Rep2,3,9,7,7
Ratio5,Colony1_872,Colony1_872Rep2,4,3,10,4
Ratio5,Colony1_872,Colony1_872Rep2,5,7,9,6
Ratio5,Colony1_872,Colony1_872Rep2,6,5,3,3
Ratio5,Colony1_872,Colony1_872Rep2,7,6,8,2
Ratio5,Colony1_872,Colony1_872Rep2,8,5,4,3
Ratio5,Colony1_872,Colony1_872Rep3,1,10,19,12
Ratio5,Colony1_872,Colony1_872Rep3,2,0,7,0
Ratio5,Colony1_872,Colony1_872Rep3,3,1,8,1
Ratio5,Colony1_872,Colony1_872Rep3,4,0,8,0
Ratio5,Colony1_872,Colony1_872Rep3,5,15,35,9
Ratio5,Colony1_872,Colony1_872Rep3,6,3,9,5
Ratio5,Colony1_872,Colony1_872Rep3,7,0,11,0
