Treatment,ColonyID,TestingDate,BeeID,Trial number,Visit01,Visit02,Visit03,Visit04,Visit05,Visit06,Visit07,Visit08,Visit09,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18,Visit19,Visit20,Visit21,Visit22,Visit23,Visit24,Visit25,Visit26,Visit27,Visit28,Visit29,Visit30,Visit31,Visit32,Visit33,Visit34,Visit35,Visit36,Visit37,Visit38,Visit39,Visit40,Visit41,Visit42,Visit43,Visit44,Visit45,Visit46,Visit47,Visit48,Visit49,Visit50,Visit51,Visit52,Visit53,Visit54,Visit55,Visit56,Visit57,Visit58,Visit59,Visit60,NumDistinctArms,RowRelativeNumber,TotalArms,NumSame,NumReward,NumRevisited,NumTurnsL1,NumTurnsL2,NumTurnsL3,NumTurnsR1,NumTurnsR2,NumTurnsR3,NumTurns4,NumReentries0,Total1s,Total 2s,Total 3s,Prop 1s,Prop 2s,Prop 3s,PropO4,PropOS,FirstMistake,NumSwitches,TotalL,TotalR,TotalLorR,Change direction prop,Proportion R,Prop R bias,Prop side bias,Num not reach feeder 9,Num reach feeder 9,Season,New or Used floor,EmergenceDate,AgeDays,AgeRelativeToColony
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,1,Reward,Reward,Reward,Previsited,Reward,Reward,Reward,Previsited,Reward,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,1,,L1,R2,L1,R3,R1,L2,R1,R2,L3,L3,O4,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,2,1,4,8,3,5,6,8,5,3,8,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,12,0,8,4,1,3,2,0,1,3,1,0,1,4,5,0.0909090909,0.3636363636,0.4545454545,0.0909090909,0,7,3,6,4,10,0.3333333333,0.4,-0.1,0.1,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,2,11.766762,11.353598,11.548471,11.534994,10.262219,11.159653,11.731125,11.585663,11.448793,10.58403,11.602358,10.294686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,2,Reward,Reward,Reward,Reward,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Reward,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,2,,L3,O4,L3,L2,L1,L2,R3,R2,R3,L2,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,3,7,4,3,2,7,4,3,4,5,2,7,5,6,1,7,4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,18,0,8,10,4,0,2,3,2,6,0,0,7,2,8,0.4117647059,0.1176470588,0.4705882353,0,0,5,5,6,11,17,0.3125,0.6470588235,0.1470588235,0.1470588235,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,3,11.699978,11.297834,11.330396,11.71042,11.839213,11.367599,10.945906,9.617282,11.75594,11.488819,10.58379,11.311663,11.733119,11.800954,11.813105,10.307629,10.737981,10.374226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,3,Reward,Reward,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Reward,Previsited,Previsited,Previsited,Reward,Reward,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,3,,R3,R1,R1,R3,R3,R1,L1,L1,R3,R3,R2,L1,L3,R2,R3,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
