Treatment,ColonyID,TestingDate,BeeID,Trial number,Finish time (s),Total distance (cm),New or Used,Notes
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,7,72.28,259.657929,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,8,83.48,281.313382,New,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,9,54.02,112.092211,Used,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,1,249.38,781.788242,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,2,77.06,120.060902,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,3,123.86,302.248405,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,4,135.28,349.093936,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,5,160.54,388.610228,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,6,125.94,376.037135,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,7,107.46,217.088318,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,8,85.66,158.984512,Used,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee14,9,103.2,236.889736,New,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,1,142.66,185.240231,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,2,126.6,277.061856,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,3,121.88,205.039505,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,4,85.98,129.7331,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,5,130.6,293.243109,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,6,119.36,238.364491,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,7,170.76,383.554909,,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,8,110.16,196.767044,New,
OdorControl,OdorControl_Outdoors,25_08_2022,ColonyOutdoorsBee15,9,141.74,325.525037,Used,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,1,155.24,377.533557,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,2,114.76,227.65088,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,3,152.42,224.626679,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,4,199.16,468.231794,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,5,117.14,237.779869,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,6,184.04,535.672421,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,7,143.72,329.194278,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,8,94.6,166.939836,Used,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee16,9,85.6,170.146736,New,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,1,102.1,224.260984,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,2,125.02,337.987861,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,3,87.08,249.211451,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,4,56.7,170.669026,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,5,76.2,200.471434,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,6,71.04,218.566921,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,7,181,709.228313,,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,8,179.44,648.91528,New,
OdorControl,OdorControl_Outdoors,28_08_2022,ColonyOutdoorsBee17,9,129.68,482.998385,Used,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,1,154.6,516.397373,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,2,95.82,266.271282,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,3,133.44,441.574786,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,4,112.12,349.730547,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,5,143.64,363.712451,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,6,86.3,208.031477,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,7,138.7,489.262245,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,8,74.5,179.03429,Used,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee18,9,114.38,368.497904,New,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,1,251.38,692.1266,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,2,139.2,410.759523,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,3,93.2,214.12094,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,4,80.56,176.676124,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,5,84.3,234.905149,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,6,82.6,210.922003,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,7,166.74,557.666757,,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,8,82.34,160.440358,New,
OdorControl,OdorControl_Outdoors,29_08_2022,ColonyOutdoorsBee19,9,89.08,227.464519,Used,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,1,228.42,958.71015,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,2,102.34,269.242659,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,3,76.4,249.860538,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,4,136.28,491.51411,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,5,72.08,189.808384,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,6,68.22,172.728777,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,7,82.6,154.419595,,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,8,121.96,476.516914,Used,
OdorControl,OdorControl_Outdoors,01_09_2022,ColonyOutdoorsBee20,9,85.3,261.096003,New,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,1,162.16,254.182415,,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,2,165.2,200.223822,,Only 7 arms
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,3,95.16,102.000316,,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,4,105.14,136.778263,,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,5,140.78,130.724836,,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,6,122.8,147.591507,,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,7,115.6,109.318702,,
Balanced,Balanced_Colony01,29_11_2021,Colony1_867Rep1,8,133.56,123.330853,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,1,107.2,434.366695,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,2,153.32,267.700385,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,3,83,339.764055,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,4,64,187.798325,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,5,72.9,210.283513,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,6,109.5,329.212638,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,7,58.22,100.891621,,
Balanced,Balanced_Colony01,01_12_2021,Colony1_867Rep2,8,57.82,64.085818,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,1,155.78,272.496682,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,2,131.3,306.02123,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,3,213.64,419.332162,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,4,146.06,287.104176,,
