Treatment,Colony,BeeID,Trial,n1Switch,nTotalSwitch
Ratio1,Colony5_40,Colony5_40Rep2,4,1,12
Ratio1,Colony5_40,Colony5_40Rep2,5,0,25
Ratio1,Colony5_40,Colony5_40Rep2,6,0,11
Ratio1,Colony5_40,Colony5_40Rep2,7,4,13
Ratio1,Colony5_40,Colony5_40Rep2,8,8,21
Ratio1,Colony5_40,Colony5_40Rep3,1,17,51
Ratio1,Colony5_40,Colony5_40Rep3,2,10,33
Ratio1,Colony5_40,Colony5_40Rep3,3,8,26
Ratio1,Colony5_40,Colony5_40Rep3,4,6,21
Ratio1,Colony5_40,Colony5_40Rep3,5,3,14
Ratio1,Colony5_40,Colony5_40Rep3,6,5,15
Ratio1,Colony5_40,Colony5_40Rep3,7,6,19
Ratio1,Colony5_40,Colony5_40Rep3,8,2,9
Ratio1,Colony5_40,Colony5_40Rep4,1,3,11
Ratio1,Colony5_40,Colony5_40Rep4,2,11,25
Ratio1,Colony5_40,Colony5_40Rep4,3,9,14
Ratio1,Colony5_40,Colony5_40Rep4,4,13,21
Ratio1,Colony5_40,Colony5_40Rep4,5,12,24
Ratio1,Colony5_40,Colony5_40Rep4,6,11,16
Ratio1,Colony5_40,Colony5_40Rep4,7,11,14
Ratio1,Colony5_40,Colony5_40Rep4,8,15,17
Ratio1,Colony5_40,Colony5_40Rep5,1,2,9
Ratio1,Colony5_40,Colony5_40Rep5,2,6,28
Ratio1,Colony5_40,Colony5_40Rep5,3,11,26
Ratio1,Colony5_40,Colony5_40Rep5,4,3,12
Ratio1,Colony5_40,Colony5_40Rep5,5,4,13
Ratio1,Colony5_40,Colony5_40Rep5,6,11,37
Ratio1,Colony5_40,Colony5_40Rep5,7,7,15
Ratio1,Colony5_40,Colony5_40Rep5,8,3,10
Ratio1,Colony5_40,Colony5_40Rep6,1,1,21
Ratio1,Colony5_40,Colony5_40Rep6,2,0,12
Ratio1,Colony5_40,Colony5_40Rep6,3,3,14
Ratio1,Colony5_40,Colony5_40Rep6,4,1,11
Ratio1,Colony5_40,Colony5_40Rep6,5,1,10
Ratio1,Colony5_40,Colony5_40Rep6,6,2,13
Ratio1,Colony5_40,Colony5_40Rep6,7,2,14
Ratio1,Colony5_40,Colony5_40Rep6,8,8,29
Ratio5,Colony1_872,Colony1_872Rep1,1,7,15
Ratio5,Colony1_872,Colony1_872Rep1,2,4,22
Ratio5,Colony1_872,Colony1_872Rep1,3,8,24
Ratio5,Colony1_872,Colony1_872Rep1,4,8,17
Ratio5,Colony1_872,Colony1_872Rep1,5,9,17
Ratio5,Colony1_872,Colony1_872Rep1,6,10,24
Ratio5,Colony1_872,Colony1_872Rep1,7,13,28
Ratio5,Colony1_872,Colony1_872Rep1,8,6,15
Ratio5,Colony1_872,Colony1_872Rep2,1,14,26
Ratio5,Colony1_872,Colony1_872Rep2,2,20,40
Ratio5,Colony1_872,Colony1_872Rep2,3,7,19
Ratio5,Colony1_872,Colony1_872Rep2,4,7,14
Ratio5,Colony1_872,Colony1_872Rep2,5,5,18
Ratio5,Colony1_872,Colony1_872Rep2,6,5,10
Ratio5,Colony1_872,Colony1_872Rep2,7,4,17
Ratio5,Colony1_872,Colony1_872Rep2,8,2,10
Ratio5,Colony1_872,Colony1_872Rep3,1,15,41
Ratio5,Colony1_872,Colony1_872Rep3,2,4,9
Ratio5,Colony1_872,Colony1_872Rep3,3,3,9
Ratio5,Colony1_872,Colony1_872Rep3,4,5,9
Ratio5,Colony1_872,Colony1_872Rep3,5,19,59
Ratio5,Colony1_872,Colony1_872Rep3,6,5,13
Ratio5,Colony1_872,Colony1_872Rep3,7,6,11
Ratio5,Colony1_872,Colony1_872Rep3,8,7,10
Ratio5,Colony1_872,Colony1_872Rep4,1,4,14
Ratio5,Colony1_872,Colony1_872Rep4,2,1,25
Ratio5,Colony1_872,Colony1_872Rep4,3,3,30
Ratio5,Colony1_872,Colony1_872Rep4,4,5,33
Ratio5,Colony1_872,Colony1_872Rep4,5,5,18
Ratio5,Colony1_872,Colony1_872Rep4,6,5,23
Ratio5,Colony1_872,Colony1_872Rep4,7,7,37
Ratio5,Colony1_872,Colony1_872Rep4,8,5,13
Ratio5,Colony1_872,Colony1_872Rep5,1,2,16
Ratio5,Colony1_872,Colony1_872Rep5,2,8,43
Ratio5,Colony1_872,Colony1_872Rep5,3,10,18
Ratio5,Colony1_872,Colony1_872Rep5,4,4,10
Ratio5,Colony1_872,Colony1_872Rep5,5,7,11
Ratio5,Colony1_872,Colony1_872Rep5,6,8,12
Ratio5,Colony1_872,Colony1_872Rep5,7,7,20
Ratio5,Colony1_872,Colony1_872Rep5,8,5,11
Ratio5,Colony1_872,Colony1_872Rep6,1,7,27
Ratio5,Colony1_872,Colony1_872Rep6,2,4,13
Ratio5,Colony1_872,Colony1_872Rep6,3,6,15
Ratio5,Colony1_872,Colony1_872Rep6,4,12,27
Ratio5,Colony1_872,Colony1_872Rep6,5,5,10
Ratio5,Colony1_872,Colony1_872Rep6,6,10,24
Ratio5,Colony1_872,Colony1_872Rep6,7,5,7
Ratio5,Colony1_872,Colony1_872Rep6,8,7,16
Ratio5,Colony2_809,Colony2_809Rep1,1,8,23
Ratio5,Colony2_809,Colony2_809Rep1,2,5,16
Ratio5,Colony2_809,Colony2_809Rep1,3,13,41
Ratio5,Colony2_809,Colony2_809Rep1,4,12,48
Ratio5,Colony2_809,Colony2_809Rep1,5,3,18
Ratio5,Colony2_809,Colony2_809Rep1,6,3,14
Ratio5,Colony2_809,Colony2_809Rep1,7,11,30
Ratio5,Colony2_809,Colony2_809Rep1,8,6,23
Ratio5,Colony2_809,Colony2_809Rep2,1,7,20
Ratio5,Colony2_809,Colony2_809Rep2,2,10,29
Ratio5,Colony2_809,Colony2_809Rep2,3,7,9
Ratio5,Colony2_809,Colony2_809Rep2,4,8,11
Ratio5,Colony2_809,Colony2_809Rep2,5,6,9
Ratio5,Colony2_809,Colony2_809Rep2,6,9,18
Ratio5,Colony2_809,Colony2_809Rep2,7,5,11
Ratio5,Colony2_809,Colony2_809Rep2,8,6,9
Ratio5,Colony2_809,Colony2_809Rep3,1,3,18
Ratio5,Colony2_809,Colony2_809Rep3,2,4,10
Ratio5,Colony2_809,Colony2_809Rep3,3,2,11
Ratio5,Colony2_809,Colony2_809Rep3,4,3,9
Ratio5,Colony2_809,Colony2_809Rep3,5,0,19
Ratio5,Colony2_809,Colony2_809Rep3,6,6,31
Ratio5,Colony2_809,Colony2_809Rep3,7,1,14
Ratio5,Colony2_809,Colony2_809Rep3,8,4,14
Ratio5,Colony2_809,Colony2_809Rep4,1,6,26
Ratio5,Colony2_809,Colony2_809Rep4,2,3,21
Ratio5,Colony2_809,Colony2_809Rep4,3,4,11
Ratio5,Colony2_809,Colony2_809Rep4,4,6,49
Ratio5,Colony2_809,Colony2_809Rep4,5,0,13
Ratio5,Colony2_809,Colony2_809Rep4,6,0,12
Ratio5,Colony2_809,Colony2_809Rep4,7,2,21
Ratio5,Colony2_809,Colony2_809Rep4,8,2,20
Ratio5,Colony2_809,Colony2_809Rep5,1,11,29
Ratio5,Colony2_809,Colony2_809Rep5,2,7,22
Ratio5,Colony2_809,Colony2_809Rep5,3,1,9
Ratio5,Colony2_809,Colony2_809Rep5,4,2,11
Ratio5,Colony2_809,Colony2_809Rep5,5,1,9
Ratio5,Colony2_809,Colony2_809Rep5,6,6,16
Ratio5,Colony2_809,Colony2_809Rep5,7,9,19
Ratio5,Colony2_809,Colony2_809Rep5,8,3,18
Ratio5,Colony2_809,Colony2_809Rep6,1,5,26
Ratio5,Colony2_809,Colony2_809Rep6,2,1,18
Ratio5,Colony2_809,Colony2_809Rep6,3,3,9
Ratio5,Colony2_809,Colony2_809Rep6,4,0,12
Ratio5,Colony2_809,Colony2_809Rep6,5,1,12
Ratio5,Colony2_809,Colony2_809Rep6,6,0,13
Ratio5,Colony2_809,Colony2_809Rep6,7,2,16
Ratio5,Colony2_809,Colony2_809Rep6,8,1,10
Ratio5,Colony3_879,Colony3_879Rep1,1,6,22
Ratio5,Colony3_879,Colony3_879Rep1,2,8,27
Ratio5,Colony3_879,Colony3_879Rep1,3,4,14
Ratio5,Colony3_879,Colony3_879Rep1,4,7,13
Ratio5,Colony3_879,Colony3_879Rep1,5,6,16
Ratio5,Colony3_879,Colony3_879Rep1,6,8,23
Ratio5,Colony3_879,Colony3_879Rep1,7,5,14
Ratio5,Colony3_879,Colony3_879Rep1,8,4,13
Ratio5,Colony3_879,Colony3_879Rep2,1,13,32
Ratio5,Colony3_879,Colony3_879Rep2,2,4,18
Ratio5,Colony3_879,Colony3_879Rep2,3,4,28
Ratio5,Colony3_879,Colony3_879Rep2,4,3,12
Ratio5,Colony3_879,Colony3_879Rep2,5,6,9
Ratio5,Colony3_879,Colony3_879Rep2,6,7,7
Ratio5,Colony3_879,Colony3_879Rep2,7,6,16
Ratio5,Colony3_879,Colony3_879Rep2,8,4,8
Ratio5,Colony3_879,Colony3_879Rep3,1,7,20
Ratio5,Colony3_879,Colony3_879Rep3,2,13,20
Ratio5,Colony3_879,Colony3_879Rep3,3,11,17
Ratio5,Colony3_879,Colony3_879Rep3,4,6,17
Ratio5,Colony3_879,Colony3_879Rep3,5,6,11
Ratio5,Colony3_879,Colony3_879Rep3,6,5,18
Ratio5,Colony3_879,Colony3_879Rep3,7,12,34
Ratio5,Colony3_879,Colony3_879Rep3,8,9,27
Ratio5,Colony3_879,Colony3_879Rep4,1,5,15
Ratio5,Colony3_879,Colony3_879Rep4,2,7,11
Ratio5,Colony3_879,Colony3_879Rep4,3,12,23
Ratio5,Colony3_879,Colony3_879Rep4,4,4,13
Ratio5,Colony3_879,Colony3_879Rep4,5,12,23
Ratio5,Colony3_879,Colony3_879Rep4,6,6,29
Ratio5,Colony3_879,Colony3_879Rep4,7,8,20
Ratio5,Colony3_879,Colony3_879Rep4,8,7,12
Ratio5,Colony3_879,Colony3_879Rep5,1,5,23
Ratio5,Colony3_879,Colony3_879Rep5,2,9,22
Ratio5,Colony3_879,Colony3_879Rep5,3,10,31
Ratio5,Colony3_879,Colony3_879Rep5,4,6,12
Ratio5,Colony3_879,Colony3_879Rep5,5,4,25
Ratio5,Colony3_879,Colony3_879Rep5,6,4,11
Ratio5,Colony3_879,Colony3_879Rep5,7,2,15
Ratio5,Colony3_879,Colony3_879Rep5,8,13,32
Ratio5,Colony3_879,Colony3_879Rep6,1,6,23
Ratio5,Colony3_879,Colony3_879Rep6,2,2,19
Ratio5,Colony3_879,Colony3_879Rep6,3,5,25
Ratio5,Colony3_879,Colony3_879Rep6,4,2,12
Ratio5,Colony3_879,Colony3_879Rep6,5,3,21
Ratio5,Colony3_879,Colony3_879Rep6,6,6,34
Ratio5,Colony3_879,Colony3_879Rep6,7,3,32
Ratio5,Colony3_879,Colony3_879Rep6,8,8,18
Ratio5,Colony4_816,Colony4_816Rep1,1,10,29
Ratio5,Colony4_816,Colony4_816Rep1,2,5,13
Ratio5,Colony4_816,Colony4_816Rep1,3,5,26
Ratio5,Colony4_816,Colony4_816Rep1,4,8,30
Ratio5,Colony4_816,Colony4_816Rep1,5,2,9
Ratio5,Colony4_816,Colony4_816Rep1,6,4,24
Ratio5,Colony4_816,Colony4_816Rep1,7,4,11
Ratio5,Colony4_816,Colony4_816Rep1,8,5,13
Ratio5,Colony4_816,Colony4_816Rep2,1,6,19
Ratio5,Colony4_816,Colony4_816Rep2,2,1,11
Ratio5,Colony4_816,Colony4_816Rep2,3,3,14
Ratio5,Colony4_816,Colony4_816Rep2,4,3,22
Ratio5,Colony4_816,Colony4_816Rep2,5,3,18
Ratio5,Colony4_816,Colony4_816Rep2,6,3,9
Ratio5,Colony4_816,Colony4_816Rep2,7,3,19
Ratio5,Colony4_816,Colony4_816Rep2,8,3,14
Ratio5,Colony4_816,Colony4_816Rep3,1,9,30
Ratio5,Colony4_816,Colony4_816Rep3,2,3,19
Ratio5,Colony4_816,Colony4_816Rep3,3,3,22
Ratio5,Colony4_816,Colony4_816Rep3,4,6,17
Ratio5,Colony4_816,Colony4_816Rep3,5,1,18
Ratio5,Colony4_816,Colony4_816Rep3,6,2,18
Ratio5,Colony4_816,Colony4_816Rep3,7,3,10
Ratio5,Colony4_816,Colony4_816Rep3,8,10,37
Ratio5,Colony4_816,Colony4_816Rep4,1,3,30
Ratio5,Colony4_816,Colony4_816Rep4,2,1,16
Ratio5,Colony4_816,Colony4_816Rep4,3,2,21
Ratio5,Colony4_816,Colony4_816Rep4,4,2,12
Ratio5,Colony4_816,Colony4_816Rep4,5,3,19
Ratio5,Colony4_816,Colony4_816Rep4,6,2,12
Ratio5,Colony4_816,Colony4_816Rep4,7,2,21
Ratio5,Colony4_816,Colony4_816Rep4,8,2,24
Ratio5,Colony4_816,Colony4_816Rep5,1,4,12
Ratio5,Colony4_816,Colony4_816Rep5,2,1,11
Ratio5,Colony4_816,Colony4_816Rep5,3,7,17
Ratio5,Colony4_816,Colony4_816Rep5,4,1,26
Ratio5,Colony4_816,Colony4_816Rep5,5,5,19
Ratio5,Colony4_816,Colony4_816Rep5,6,5,14
Ratio5,Colony4_816,Colony4_816Rep5,7,5,21
Ratio5,Colony4_816,Colony4_816Rep5,8,4,19
Ratio5,Colony4_816,Colony4_816Rep6,1,1,11
Ratio5,Colony4_816,Colony4_816Rep6,2,1,23
Ratio5,Colony4_816,Colony4_816Rep6,3,1,26
Ratio5,Colony4_816,Colony4_816Rep6,4,6,20
Ratio5,Colony4_816,Colony4_816Rep6,5,3,12
Ratio5,Colony4_816,Colony4_816Rep6,6,4,15
Ratio5,Colony4_816,Colony4_816Rep6,7,3,18
Ratio5,Colony4_816,Colony4_816Rep6,8,7,38
Ratio5,Colony5_62,Colony5_62Rep1,1,5,27
