p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.25,0.32,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.371875,0.08465758301145883,4.884125,0.016269075984856978,1.0,0.005625,8000,1.2871716580316674
0.25,0.33,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.535375,0.08588646218537711,4.866,0.016135381737596953,1.0,0.005375,8000,1.2908217523341625
0.25,0.34,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.59825,0.08619329746420813,4.88675,0.01618520311233299,1.0,0.004625,8000,1.2922172933322613
0.25,0.35000000000000003,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.609125,0.08670648025673565,4.87925,0.016122303519390348,1.0,0.005125,8000,1.2924582149757948
0.25,0.36,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.587875,0.08774090155835339,4.839,0.016246510968199603,1.0,0.00425,8000,1.2919873239053263
0.25,0.37,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.587375,0.08576692367586398,4.856125,0.016079620403508136,1.0,0.005,8000,1.291976237965047
0.25,0.38,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.43275,0.08508651270335388,4.848,0.01636273868892904,1.0,0.006,8000,1.2885342635599295
0.25,0.39,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.626375,0.08576795402517237,4.83175,0.016192027819520123,1.0,0.00425,8000,1.2928400926271835
0.25,0.4,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.721,0.08749183091900463,4.815,0.015943373196836724,1.0,0.0045,8000,1.2949289330935672
0.25,0.41000000000000003,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.784625,0.0870819096227501,4.816125,0.016168357987806855,1.0,0.00575,8000,1.2963278230137654
0.25,0.42,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.790875,0.08650261877353024,4.818,0.016152155011450925,1.0,0.004375,8000,1.2964649957865395
0.25,0.43,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.687625,0.08692371122926475,4.775375,0.016227607435394156,1.0,0.005,8000,1.294193328550204
0.25,0.44,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.851125,0.08979405200662706,4.81525,0.016148251466975617,1.0,0.004125,8000,1.29778512406878
